Code activité;Intitulé activité;Préfixe présent dans le fichier 2021
D.01.05.04;Alimentation, abreuvage et soins aux animaux au sein des espaces de stabulation;D.01.05.01 seulement
D.01.12.02;Réalisation des opérations de maintenance préventive et curative sur les composants ou sous-ensembles des équipements et installations automatisés et robotisés;D.01.12.01 seulement
F.01.07.01;Diagnostic sur des produits pour lesquels une intervention est nécessaire;rien sous F.01.07
F.01.23.02;Contrôles et tests de fonctionnement sur les composants ou sous-ensembles mécaniques et électrotechniques des équipements et installations;F.01.23.01 seulement
I.01.03.02;Elaboration d’actions d’amélioration de l’activité achats;I.01.03.01 seulement
I.01.03.04;Gestion administrative et réglementaire de son entreprise de pêche;I.01.03.01 seulement
I.03.27.03;Veille technologique et règlementaire sur les sujets en lien avec le stockage et la gestion de données;I.03.27.01 et .02 seulement
J.02.01.01;Réalisation d’outils destinés à apporter un support technique à la force de vente et aux clients professionnels;rien sous J.02.01
K.02.21.02;Supervision des activités de la supply chain;K.02.21.1 (-> K.02.21.01 normalisé) seulement
L.01.02.05;Elaboration des déclarations administratives obligatoires;L.01.02.01 et .02 seulement
